nof_samples,trace_0
949,-96.309
950,-96.5817
951,-97.0506
952,-96.8797
953,-96.9403
954,-96.4996
955,-97.3546
956,-97.5192
957,-96.7516
958,-97.1128
959,-96.6672
960,-96.3759
961,-96.8981
962,-97.2357
963,-99.001
964,-99.1956
965,-99.293
966,-99.317
967,-99.3196
968,-99.2876
969,-99.2812
970,-99.2514
971,-99.2648
972,-99.293
973,-99.4775
974,-99.5056
975,-99.519
976,-99.5094
977,-99.4931
978,-99.4889
979,-99.51
980,-99.4765
981,-98.1823
982,-97.7837
983,-97.9985
984,-98.6831
985,-98.5342
986,-98.0635
987,-97.7064
988,-97.4572
989,-97.6383
990,-97.944
991,-98.0827
992,-98.3759
993,-97.1209
994,-96.9447
995,-96.058
996,-95.3394
997,-95.2171
998,-98.1807
999,-99.4847
1000,-99.9879
1001,-100.089
1002,-100.114
1003,-100.098
1004,-100.126
1005,-100.13
1006,-100.124
1007,-100.13
1008,-100.146
1009,-100.151
1010,-100.141
1011,-100.133
1012,-100.124
1013,-100.135
1014,-100.111
1015,-100.113
1016,-99.3319
1017,-99.0355
1018,-98.8822
1019,-98.9055
1020,-98.5812
1021,-98.8078
1022,-98.8883
1023,-99.1023
1024,-99.0466
1025,-99.178
1026,-98.905
1027,-99.0697
1028,-99.09
1029,-98.7667
1030,-99.0575
1031,-98.9253
1032,-99.0562
1033,-98.8116
1034,-99.3991
1035,-99.618
1036,-99.6687
1037,-99.6896
1038,-99.6387
1039,-99.6399
1040,-99.6521
1041,-99.6523
1042,-99.5826
1043,-99.5751
1044,-99.5722
1045,-99.5774
1046,-99.5753
1047,-99.5716
1048,-99.5749
1049,-99.6372
1050,-99.6583
1051,-100.132
1052,-100.316
1053,-100.37
1054,-100.372
1055,-100.379
1056,-100.384
1057,-100.376
1058,-100.375
1059,-100.37
1060,-100.378
1061,-100.376
1062,-100.37
1063,-100.375
1064,-100.371
1065,-100.416
1066,-100.422
1067,-100.437
1068,-99.2464
1069,-98.3265
1070,-97.5692
1071,-97.5677
1072,-98.0594
1073,-98.2349
1074,-98.46
1075,-98.0851
1076,-98.1423
1077,-98.1868
1078,-98.1251
1079,-97.8274
1080,-97.7317
1081,-97.5374
1082,-97.7259
1083,-97.8038
1084,-99.1325
1085,-99.6143
1086,-99.5898
1087,-99.7917
1088,-99.7273
1089,-99.7235
1090,-99.9261
1091,-99.8454
1092,-99.825
1093,-99.7751
1094,-99.9654
1095,-100.056
1096,-100.15
1097,-100.062
1098,-100.152
1099,-100.118
1100,-100.101
1101,-99.9285
1102,-99.9147
1103,-99.9064
1104,-99.9011
1105,-99.9617
1106,-99.9343
1107,-99.9353
1108,-99.8574
1109,-99.8209
1110,-99.7849
1111,-99.8479
1112,-99.8553
1113,-99.8359
1114,-99.8317
1115,-99.9049
1116,-99.9181
1117,-99.8859
1118,-98.5404
1119,-98.0975
1120,-98.0422
1121,-97.9786
1122,-98.1333
1123,-98.4085
1124,-98.6813
1125,-98.4157
1126,-98.1241
1127,-97.7705
1128,-97.6945
1129,-98.2218
1130,-98.3607
1131,-98.6248
1132,-98.9819
1133,-98.4668
1134,-98.3455
1135,-99.014
1136,-98.3976
1137,-98.3734
1138,-98.391
1139,-98.3623
1140,-98.3608
1141,-98.405
1142,-98.4229
1143,-98.472
1144,-98.4263
1145,-98.4008
1146,-98.444
1147,-98.4982
1148,-98.4687
1149,-98.4708
1150,-98.5007
1151,-98.5143
1152,-98.4668
1153,-98.4938
1154,-98.6016
1155,-101.979
1156,-102.863
1157,-102.878
1158,-103.227
1159,-102.98
1160,-103.316
1161,-104.708
1162,-105.453
1163,-105.776
1164,-105.643
1165,-106.019
1166,-104.963
1167,-105.228
1168,-105.919
1169,-105.466
1170,-105.947
1171,-105.948
1172,-105.042
1173,-104.565
1174,-99.733
1175,-98.4016
1176,-97.9737
1177,-97.5648
1178,-97.5159
1179,-97.3344
1180,-97.3292
1181,-97.434
1182,-97.6545
1183,-97.6284
1184,-97.4361
1185,-97.3671
1186,-97.5014
1187,-97.6322
1188,-97.479
1189,-97.4518
1190,-97.1914
1191,-97.3461
1192,-100.113
1193,-100.54
1194,-100.538
1195,-100.417
1196,-100.604
1197,-100.482
1198,-100.529
1199,-100.443
1200,-100.523
1201,-100.66
1202,-100.732
1203,-100.893
1204,-101.117
1205,-101.058
1206,-101.066
1207,-101.223
1208,-101.213
1209,-102.002
1210,-102.749
1211,-103.425
1212,-102.789
1213,-102.731
1214,-102.504
1215,-102.176
1216,-102.313
1217,-102.272
1218,-102.762
1219,-103.088
1220,-103.357
1221,-103.08
1222,-103.131
1223,-101.377
1224,-100.677
1225,-100.447
1226,-100.436
1227,-100.386
1228,-100.348
1229,-100.358
1230,-100.371
1231,-100.347
1232,-100.391
1233,-100.494
1234,-100.427
1235,-100.439
1236,-100.333
1237,-100.309
1238,-99.383
1239,-98.7936
1240,-98.5754
1241,-98.9188
1242,-99.3158
1243,-98.6869
1244,-98.4472
1245,-98.5519
1246,-98.3267
1247,-98.0049
1248,-97.7476
1249,-97.5064
1250,-97.6561
1251,-97.693
1252,-98.0207
1253,-98.3646
1254,-98.3579
1255,-100.294
1256,-100.654
1257,-100.6
1258,-100.658
1259,-100.743
1260,-100.822
1261,-101.097
1262,-101.344
1263,-101.478
1264,-101.394
1265,-101.119
1266,-100.986
1267,-101.179
1268,-100.97
1269,-100.916
1270,-100.858
1271,-100.796
1272,-100.773
1273,-102.188
1274,-103.58
1275,-104.459
1276,-104.718
1277,-104.249
1278,-104.316
1279,-104.588
1280,-103.969
1281,-105.011
1282,-104.087
1283,-104.261
1284,-104.094
1285,-103.885
1286,-103.598
1287,-104.686
1288,-104.507
1289,-105.142
1290,-101.902
1291,-100.737
1292,-100.218
1293,-100.149
1294,-100.077
1295,-100.023
1296,-99.9078
1297,-99.8206
1298,-99.8133
1299,-99.8334
1300,-99.841
1301,-99.7727
1302,-99.7618
1303,-99.7623
1304,-99.7914
1305,-99.8336
1306,-99.8038
1307,-98.3612
1308,-98.0649
1309,-97.5872
1310,-97.6999
1311,-97.741
1312,-98.1632
1313,-97.9918
1314,-98.1457
1315,-98.2581
1316,-98.2055
1317,-98.1475
1318,-98.1585
1319,-98.0436
1320,-98.2637
