nof_samples,trace_0
1051,0.00866374
1052,0.00870368
1053,0.00797742
1054,0.00881767
1055,0.00912113
1056,0.00907401
1057,0.0105519
1058,0.0100935
1059,0.010005
1060,0.00929064
1061,0.00938272
1062,0.00981741
1063,0.00921208
1064,0.010088
1065,0.00875888
1066,0.00967476
1067,0.00776143
1068,0.00831383
1069,0.00979294
1070,0.00870115
1071,0.0100275
1072,0.0102885
1073,0.0106619
1074,0.0114471
1075,0.012102
1076,0.0122698
1077,0.0115669
1078,0.0125215
1079,0.0135824
1080,0.0143955
1081,0.0153203
1082,0.0132693
1083,0.0127101
1084,0.0135641
1085,0.0115642
1086,0.00936403
1087,0.00935523
1088,0.00884654
1089,0.00827403
1090,0.00669958
1091,0.00839801
1092,0.00744457
1093,0.0077494
1094,0.00735263
1095,0.00809086
1096,0.00826738
1097,0.00802045
1098,0.00820953
1099,0.00700366
1100,0.00733546
1101,0.00796839
1102,0.0082572
1103,0.00700384
1104,0.00663301
1105,0.00709629
1106,0.00655317
1107,0.00646742
1108,0.00765036
1109,0.00820901
1110,0.00766735
1111,0.00826343
1112,0.00760596
1113,0.00725453
1114,0.00709988
1115,0.00892013
1116,0.00943863
1117,0.00872267
1118,0.00886165
1119,0.00923987
1120,0.00855902
1121,0.00829606
1122,0.00753891
1123,0.008971
1124,0.00769509
1125,0.00796896
1126,0.00773111
1127,0.00812244
1128,0.00751957
1129,0.00787902
1130,0.00785136
1131,0.0094618
1132,0.00757911
1133,0.00803958
1134,0.00767731
1135,0.00873396
1136,0.00868105
1137,0.00924151
1138,0.00898917
1139,0.0082446
1140,0.0088611
1141,0.0084383
1142,0.00892533
1143,0.0100984
1144,0.00883955
1145,0.00910297
1146,0.00880896
1147,0.00823069
1148,0.00882864
1149,0.00768522
1150,0.00849922
1151,0.00853636
1152,0.00934356
1153,0.00981858
1154,0.010824
1155,0.0107812
1156,0.00973917
1157,0.00824674
1158,0.00874554
1159,0.00709153
1160,0.00762479
1161,0.00850204
1162,0.00985685
1163,0.0090185
1164,0.00935097
1165,0.00870255
1166,0.00894662
1167,0.00863128
1168,0.00737076
1169,0.00768126
1170,0.00865868
1171,0.00780739
1172,0.00826157
1173,0.00868473
1174,0.00839783
1175,0.00892567
1176,0.00920243
1177,0.00845647
1178,0.0085797
1179,0.00789671
1180,0.00862781
1181,0.00686844
1182,0.00712823
1183,0.00875609
1184,0.00929309
1185,0.0102231
1186,0.0092575
1187,0.00958863
1188,0.00899056
1189,0.00964437
1190,0.00913427
1191,0.00965773
1192,0.00852496
1193,0.00908226
1194,0.00903059
1195,0.00827394
1196,0.00809705
1197,0.00871354
1198,0.00755635
1199,0.00752968
1200,0.00772106
1201,0.0085802
1202,0.00923118
1203,0.00842132
1204,0.00863829
1205,0.00831648
1206,0.00790263
1207,0.00831704
1208,0.00906211
1209,0.00857536
1210,0.00800936
1211,0.00844255
1212,0.00889693
1213,0.00841662
1214,0.00750285
1215,0.00875207
1216,0.00847401
1217,0.00842286
1218,0.00743232
1219,0.00766944
1220,0.00921492
1221,0.00851257
1222,0.00763404
1223,0.00886787
1224,0.00699519
1225,0.00813294
1226,0.00868242
1227,0.0072252
1228,0.00941348
1229,0.00873451
1230,0.0101332
1231,0.00803304
1232,0.00849539
1233,0.00790924
1234,0.00826438
1235,0.00750677
1236,0.0083192
1237,0.0087744
1238,0.00921782
1239,0.0075569
1240,0.00861421
1241,0.00829053
1242,0.00832706
1243,0.00743579
1244,0.00708244
1245,0.00813067
1246,0.0088874
